filename,category,media_type,source_path,thumbnail_path,capture_date,dominant_hex,dominant_weight,dominant_hue,color1_hex,color1_weight,color2_hex,color2_weight,color3_hex,color3_weight,color4_hex,color4_weight,color5_hex,color5_weight,color6_hex,color6_weight
004B6FDB-2020-4B28-9148-473DD492E302.JPG,sky,photo,media/sky/004B6FDB-2020-4B28-9148-473DD492E302.JPG,thumbnails/004B6FDB-2020-4B28-9148-473DD492E302.jpg,2026:08:24 12:36:32,#e27844,0.083,19.7,#271a19,0.251,#7876ab,0.23,#987799,0.229,#503e3a,0.121,#c6777d,0.086,#e27844,0.083
1458B91D-2043-497C-909D-9DA6110DA2D4.JPG,sky,photo,media/sky/1458B91D-2043-497C-909D-9DA6110DA2D4.JPG,thumbnails/1458B91D-2043-497C-909D-9DA6110DA2D4.jpg,2026:08:24 12:36:34,#6787cf,0.191,221.5,#6a3c2c,0.256,#6787cf,0.191,#aa5b3d,0.159,#837180,0.146,#1e1916,0.145,#84aae8,0.103
15C29667-4314-4AB4-A0BB-5E912B4A4A78.JPG,sky,photo,media/sky/15C29667-4314-4AB4-A0BB-5E912B4A4A78.JPG,thumbnails/15C29667-4314-4AB4-A0BB-5E912B4A4A78.jpg,2026:08:24 12:36:36,#3f432e,0.251,71.4,#3f432e,0.251,#1e2114,0.19,#858782,0.178,#5f6251,0.178,#9fa8b5,0.121,#ccd8e6,0.082
26382721-2E69-4790-AB59-41B12C48439E.JPG,sky,photo,media/sky/26382721-2E69-4790-AB59-41B12C48439E.JPG,thumbnails/26382721-2E69-4790-AB59-41B12C48439E.jpg,2026:08:24 12:36:42,#e08b6e,0.151,15.3,#444078,0.205,#7c576b,0.196,#ac706d,0.187,#0f0a16,0.153,#e08b6e,0.151,#231c2e,0.108
2D2A1674-D09E-46AB-9CF1-C795919F0C3C.JPG,sky,photo,media/sky/2D2A1674-D09E-46AB-9CF1-C795919F0C3C.JPG,thumbnails/2D2A1674-D09E-46AB-9CF1-C795919F0C3C.jpg,2026:08:24 12:36:34,#797033,0.149,52.3,#bba5a5,0.338,#d9b7af,0.228,#797033,0.149,#4e501f,0.13,#24280d,0.102,#e4e2e2,0.053
428C883B-682D-4AA3-BB9F-3225B720417B.JPG,sky,photo,media/sky/428C883B-682D-4AA3-BB9F-3225B720417B.JPG,thumbnails/428C883B-682D-4AA3-BB9F-3225B720417B.jpg,2026:08:24 12:36:32,#e3cbae,0.13,32.8,#14100b,0.347,#b6b8b6,0.223,#332d26,0.16,#e3cbae,0.13,#59544c,0.108,#9c8b74,0.032
49FE6817-DBCE-46CC-BE2E-FEA3E6DC0324.JPG,sky,photo,media/sky/49FE6817-DBCE-46CC-BE2E-FEA3E6DC0324.JPG,thumbnails/49FE6817-DBCE-46CC-BE2E-FEA3E6DC0324.jpg,2026:08:24 12:36:31,#e6a157,0.088,31.0,#adb8c6,0.356,#3e2522,0.183,#684540,0.171,#d4c29f,0.136,#e6a157,0.088,#a55d42,0.067
4A6D1318-05FE-434D-981E-E58FF28EFACA.JPG,sky,photo,media/sky/4A6D1318-05FE-434D-981E-E58FF28EFACA.JPG,thumbnails/4A6D1318-05FE-434D-981E-E58FF28EFACA.jpg,2026:08:24 12:36:34,#987e68,0.118,27.5,#9c9c9e,0.293,#3e342b,0.197,#221911,0.148,#b7afa4,0.147,#987e68,0.118,#6b5949,0.097
4BC98F5C-A73B-499A-A73B-EB6DA57E5B75.JPG,sky,photo,media/sky/4BC98F5C-A73B-499A-A73B-EB6DA57E5B75.JPG,thumbnails/4BC98F5C-A73B-499A-A73B-EB6DA57E5B75.jpg,2026:08:24 12:36:34,#85819e,0.3,248.3,#85819e,0.3,#6b6581,0.204,#534666,0.162,#030402,0.146,#322645,0.145,#444e11,0.043
6C9D3D11-FA9E-429B-8AFF-7E094E806DF7.JPG,sky,photo,media/sky/6C9D3D11-FA9E-429B-8AFF-7E094E806DF7.JPG,thumbnails/6C9D3D11-FA9E-429B-8AFF-7E094E806DF7.jpg,2019:02:14 18:03:59,#b6aa9d,0.262,31.2,#15130d,0.342,#b6aa9d,0.262,#96908f,0.176,#a97e62,0.085,#c69d73,0.071,#7a6763,0.066
911A9A6A-3EE0-4811-8BB1-DC59CCF93F21.JPG,sky,photo,media/sky/911A9A6A-3EE0-4811-8BB1-DC59CCF93F21.JPG,thumbnails/911A9A6A-3EE0-4811-8BB1-DC59CCF93F21.jpg,2026:08:24 12:36:37,#b8747e,0.181,351.2,#956e7f,0.229,#6a6885,0.221,#b8747e,0.181,#0d0b0c,0.168,#2d272b,0.113,#524650,0.088
969F6CE9-B260-4FB8-9201-E16D44ED3021.JPG,sky,photo,media/sky/969F6CE9-B260-4FB8-9201-E16D44ED3021.JPG,thumbnails/969F6CE9-B260-4FB8-9201-E16D44ED3021.jpg,2026:08:24 12:36:32,#567ab4,0.32,217.0,#567ab4,0.32,#4b5e77,0.21,#76808f,0.177,#93a6bf,0.147,#cdcbc9,0.076,#182432,0.07
9ED78B4A-5361-428D-AE03-331C71A4623C.JPG,sky,photo,media/sky/9ED78B4A-5361-428D-AE03-331C71A4623C.JPG,thumbnails/9ED78B4A-5361-428D-AE03-331C71A4623C.jpg,2026:08:24 12:36:40,#505786,0.347,232.2,#505786,0.347,#454543,0.214,#6e5a6d,0.207,#d86347,0.108,#11130d,0.104,#9b9990,0.019
B2AF1B46-57CE-418A-8EDA-69071A50A36F.JPG,sky,photo,media/sky/B2AF1B46-57CE-418A-8EDA-69071A50A36F.JPG,thumbnails/B2AF1B46-57CE-418A-8EDA-69071A50A36F.jpg,2026:08:24 12:36:29,#816c5c,0.214,25.9,#0c0d07,0.351,#6d6461,0.261,#816c5c,0.214,#997053,0.082,#1f1d16,0.066,#463d33,0.026
C1D2F0D6-45B6-4F2E-B682-7AC7150584AE.JPG,sky,photo,media/sky/C1D2F0D6-45B6-4F2E-B682-7AC7150584AE.JPG,thumbnails/C1D2F0D6-45B6-4F2E-B682-7AC7150584AE.jpg,2026:08:24 12:36:30,#a17054,0.098,21.8,#040402,0.322,#675c5a,0.168,#50494a,0.165,#846d63,0.159,#a17054,0.098,#15120f,0.089
